response,set,alg,Variable,Importance,Stderr,type
mean,A,rfr,Size_km2,0.6733352822858584,0.01860716725981885,permutation
mean,B,xgb,Solar_3d,1.6184397488696323,0.037713332171573515,permutation
mean,B,xgb,Air_tmax_2day,0.5950148666811115,0.013533530976768546,permutation
mean,B,xgb,Air_tmin,0.7134269320591048,0.006972119162891068,permutation
mean,B,xgb,ppt,0.2232003401419352,0.007180724589560517,permutation
mean,B,xgb,Air_trange,0.39316851503860634,0.011169714003629864,permutation
mean,B,xgb,Elev_m,2.4153079725815343,0.04371580152004503,permutation
mean,B,xgb,Size_km2,1.619420853666584,0.030693213553535426,permutation
mean,B,rfr,Solar_3d,1.313958733371196,0.04207402725030875,permutation
mean,B,rfr,Air_tmax_2day,0.5069392329392163,0.0123010701800929,permutation
mean,B,rfr,Air_tmin,0.5231898856178083,0.008909668744702084,permutation
mean,B,rfr,ppt,0.10951514222625781,0.005768018865992638,permutation
mean,B,rfr,Air_trange,0.25617799779192557,0.009980074503169074,permutation
mean,B,rfr,Elev_m,2.189743195403871,0.045341288431605835,permutation
mean,B,rfr,Size_km2,1.5032385369855201,0.033748673666100466,permutation
range,A,xgb,Solar_daily,0.5146650572742901,0.023843666149422155,permutation
range,A,xgb,WL_daily_max,0.14607928933909578,0.005632268645760689,permutation
range,A,xgb,Air_tmax,0.03721099478387831,0.0028399790799661043,permutation
range,A,xgb,Air_tmin_3day,0.03147060443952025,0.002482057752216635,permutation
range,A,xgb,GWT_max_7day,0.1260027411946201,0.009203157525046244,permutation
range,A,xgb,GWL_max_7day,0.3986088731759361,0.015537550939627573,permutation
range,A,xgb,ppt,0.020110729910856877,0.002628303666589414,permutation
range,A,xgb,Air_trange,0.05526560895144883,0.0027975846691217303,permutation
range,A,xgb,WL_daily_range,0.1764474936872385,0.0103854634317972,permutation
range,A,xgb,GWT_range,0.02316198195585601,0.002179635558114739,permutation
range,A,xgb,GWL_range,0.10919865991890698,0.0055573836845350146,permutation
range,A,xgb,Water_area_m2_3d,0.0842341534912574,0.0060520540730454354,permutation
range,A,xgb,Elev_m,0.28323172692175835,0.008723331921937054,permutation
range,A,xgb,Size_km2,0.894265375866305,0.025528877172331776,permutation
range,A,rfr,Solar_daily,0.5143676389745288,0.020623316623364894,permutation
range,A,rfr,WL_daily_max,0.18687514229552918,0.008617356280269897,permutation
range,A,rfr,Air_tmax,0.03712342134468139,0.001216349271918361,permutation
range,A,rfr,Air_tmin_3day,0.048732216408154054,0.0023483477202752116,permutation
range,A,rfr,GWT_max_7day,0.13322370324086094,0.006567733614945225,permutation
range,A,rfr,GWL_max_7day,0.38395280276097044,0.014152824611356557,permutation
range,A,rfr,ppt,0.03556667021678518,0.002499318725184143,permutation
range,A,rfr,Air_trange,0.06440385473087622,0.003486234776105356,permutation
range,A,rfr,WL_daily_range,0.2368124152351068,0.014603384748888523,permutation
range,A,rfr,GWT_range,0.03304036256701438,0.0019797630676050178,permutation
range,A,rfr,GWL_range,0.20237085223322207,0.008359634758577681,permutation
range,A,rfr,Water_area_m2_3d,0.18647584740491302,0.0046854777466347275,permutation
range,A,rfr,Elev_m,0.4128782550318315,0.011327136570818483,permutation
range,A,rfr,Size_km2,0.9576149471549408,0.02519830343382339,permutation
range,B,xgb,Solar_daily,0.9380861967051259,0.030270481823439367,permutation
range,B,xgb,Air_tmax,0.1718073503192132,0.006048538373983745,permutation
