Site,Metric,Set,Model,source,Variable,Importance,Stderr,nsim,type,kind
Anvil,range,B,XGB,orig,Air_tmean_7day,0.48960333681867235,0.028031756713500014,20,permutation,permutation
Anvil,range,B,XGB,orig,Air_trange,0.33642324446769545,NA,20,cpi,cpi
Anvil,range,B,XGB,orig,Air_trange,0.3289426068190489,0.021881196917708977,20,permutation,permutation
Butte,max,A,GLS,gls,Solar_2d,1.107547081664505,NA,20,cpi,cpi
Butte,max,A,GLS,gls,Solar_2d,1.0937327604076676,0.05129533620814794,20,permutation,permutation
Butte,max,A,GLS,gls,Air_tmin,0.7028287563740064,NA,20,cpi,cpi
Butte,max,A,GLS,gls,Air_tmin,0.6991352049783084,0.03245618021287596,20,permutation,permutation
Butte,max,A,GLS,gls,WL_max_2day,0.028078614857260365,0.00826152744273264,20,permutation,permutation
Butte,max,A,GLS,gls,WL_max_2day,0.026038659055801217,NA,20,cpi,cpi
Butte,max,A,GLS,gls,GWT_min_7day,0.0208989213821702,NA,20,cpi,cpi
Butte,max,A,GLS,gls,GWT_min_7day,0.020527086735429374,0.00836657925724092,20,permutation,permutation
Butte,max,A,GLS,gls,Air_trange,0.003132671337249604,0.0016438442157696133,20,permutation,permutation
Butte,max,A,GLS,gls,Air_trange,0.0027309950171156006,NA,20,cpi,cpi
Butte,max,A,GLS,gls,WL_daily_range,0.0021379684537045753,0.0023711075120474677,20,permutation,permutation
Butte,max,A,GLS,gls,WL_daily_range,0.00201236424407647,NA,20,cpi,cpi
Butte,max,A,GLS,gls,GWT_range,7.853053209948557e-4,NA,20,cpi,cpi
Butte,max,A,GLS,gls,GWT_range,4.4093111767655734e-4,0.0011891306316406851,20,permutation,permutation
Butte,max,A,GLS,gls,ppt_7day,-0.001773290623324486,NA,20,cpi,cpi
Butte,max,A,GLS,gls,ppt_7day,-0.0022464450978165905,0.001198509716147229,20,permutation,permutation
Butte,max,A,RFR,orig,Solar_2d,1.1669158877489294,0.044442160044290656,20,permutation,permutation
Butte,max,A,RFR,orig,Solar_2d,1.1598290921664036,NA,20,cpi,cpi
Butte,max,A,RFR,orig,Air_tmin,0.9546989936935275,NA,20,cpi,cpi
Butte,max,A,RFR,orig,Air_tmin,0.9478309220989932,0.040341468064499425,20,permutation,permutation
Butte,max,A,RFR,orig,GWT_min_7day,0.16630321513247953,0.01239412437876071,20,permutation,permutation
Butte,max,A,RFR,orig,GWT_min_7day,0.1611988304581348,NA,20,cpi,cpi
Butte,max,A,RFR,orig,Air_trange,0.11491793779147466,NA,20,cpi,cpi
Butte,max,A,RFR,orig,Air_trange,0.11372299052026269,0.00816828462834343,20,permutation,permutation
Butte,max,A,RFR,orig,ppt_7day,0.11004783462673395,0.007865554588414345,20,permutation,permutation
Butte,max,A,RFR,orig,ppt_7day,0.10864511976588251,NA,20,cpi,cpi
Butte,max,A,RFR,orig,WL_min_2day,0.06018160926320027,0.0041007445494295755,20,permutation,permutation
Butte,max,A,RFR,orig,WL_min_2day,0.059108440754988334,NA,20,cpi,cpi
Butte,max,A,RFR,orig,WL_daily_range,0.056669715173940816,NA,20,cpi,cpi
Butte,max,A,RFR,orig,WL_daily_range,0.056338754465522514,0.00443992506830757,20,permutation,permutation
Butte,max,A,RFR,orig,WL_max_2day,0.043621084243053554,NA,20,cpi,cpi
Butte,max,A,RFR,orig,WL_max_2day,0.04220333230616749,0.0035500194250983733,20,permutation,permutation
Butte,max,A,RFR,orig,GWT_range,0.015900726245818276,0.0012960667048193047,20,permutation,permutation
Butte,max,A,RFR,orig,GWT_range,0.015255188650783347,NA,20,cpi,cpi
Butte,max,A,XGB,orig,Solar_2d,1.1018221308020828,0.04524764524561612,20,permutation,permutation
Butte,max,A,XGB,orig,Solar_2d,1.09665433976499,NA,20,cpi,cpi
Butte,max,A,XGB,orig,Air_tmin,0.9844806872891242,0.0488805840962145,20,permutation,permutation
Butte,max,A,XGB,orig,Air_tmin,0.9671580549403545,NA,20,cpi,cpi
Butte,max,A,XGB,orig,Air_trange,0.14302191426373184,NA,20,cpi,cpi
Butte,max,A,XGB,orig,Air_trange,0.13973233609652955,0.012526309512663956,20,permutation,permutation
Butte,max,A,XGB,orig,WL_daily_range,0.1285532655062544,0.014244369265938986,20,permutation,permutation
Butte,max,A,XGB,orig,GWT_min_7day,0.12306699790627536,0.009424196199584324,20,permutation,permutation
Butte,max,A,XGB,orig,WL_daily_range,0.12258120791026764,NA,20,cpi,cpi
Butte,max,A,XGB,orig,GWT_min_7day,0.11836064290258483,NA,20,cpi,cpi
Butte,max,A,XGB,orig,ppt_7day,0.08362485926851788,0.008325518701272842,20,permutation,permutation
Butte,max,A,XGB,orig,ppt_7day,0.07683580335043061,NA,20,cpi,cpi
Butte,max,A,XGB,orig,WL_min_2day,0.05506268510574877,0.011279525346587918,20,permutation,permutation
Butte,max,A,XGB,orig,WL_min_2day,0.05142774136779657,NA,20,cpi,cpi
Butte,max,A,XGB,orig,WL_max_2day,0.041132408918283604,0.005701226846144601,20,permutation,permutation
Butte,max,A,XGB,orig,WL_max_2day,0.04094947635796964,NA,20,cpi,cpi
Butte,max,A,XGB,orig,GWT_range,0.005932049142351542,NA,20,cpi,cpi
Butte,max,A,XGB,orig,GWT_range,0.0058511366201037225,0.0014614358116822595,20,permutation,permutation
Butte,max,B,GLS,gls,Solar_2d,0.9687166528806519,0.049606527321818646,20,permutation,permutation
Butte,max,B,GLS,gls,Solar_2d,0.9645804369912141,NA,20,cpi,cpi
Butte,max,B,GLS,gls,Air_tmin,0.7868651376611248,0.052669823168510495,20,permutation,permutation
Butte,max,B,GLS,gls,Air_tmin,0.7627389352788636,NA,20,cpi,cpi
Butte,max,B,GLS,gls,ppt_7day,0.01598503782015559,NA,20,cpi,cpi
Butte,max,B,GLS,gls,ppt_7day,0.015612956195125515,0.003925505053627238,20,permutation,permutation
Butte,max,B,GLS,gls,Air_trange,0.0022145928563269135,NA,20,cpi,cpi
Butte,max,B,GLS,gls,Air_trange,0.002156642026647082,8.334038465562327e-4,20,permutation,permutation
Butte,max,B,RFR,pass2,Solar_2d,1.3350538422622786,0.05695564949325104,20,permutation,permutation
Butte,max,B,RFR,pass2,Solar_2d,1.3200417735159378,NA,20,cpi,cpi
Butte,max,B,RFR,pass2,Air_tmin,1.1290951600792476,0.05462541921756315,20,permutation,permutation
Butte,max,B,RFR,pass2,Air_tmin,1.1274391481328108,NA,20,cpi,cpi
Butte,max,B,RFR,pass2,Air_trange,0.23785414388420362,NA,20,cpi,cpi
Butte,max,B,RFR,pass2,Air_trange,0.23126232728829496,0.011342518115433919,20,permutation,permutation
Butte,max,B,RFR,pass2,ppt_7day,0.19989819881134702,NA,20,cpi,cpi
Butte,max,B,RFR,pass2,ppt_7day,0.19037260010804155,0.012347726796092777,20,permutation,permutation
Butte,max,B,XGB,pass2,Solar_2d,1.3267867516537186,0.039976190280974204,20,permutation,permutation
Butte,max,B,XGB,pass2,Solar_2d,1.3022769990333178,NA,20,cpi,cpi
Butte,max,B,XGB,pass2,Air_tmin,1.1262220820344204,0.05449085635154159,20,permutation,permutation
Butte,max,B,XGB,pass2,Air_tmin,1.1251408106549055,NA,20,cpi,cpi
Butte,max,B,XGB,pass2,Air_trange,0.1899029125787795,NA,20,cpi,cpi
