Site,Metric,Set,Model,source,Variable,Importance,Stderr,nsim,type
Cooper,range,B,RFR,orig,Air_trange,0.24328216985017076,NA,20,cpi
Cooper,range,B,RFR,orig,ppt,0.24061136900974978,NA,20,cpi
Cooper,range,B,RFR,orig,Air_tmin_7day,0.22738998513934272,NA,20,cpi
Cooper,range,B,RFR,orig,Air_tmean,0.2037134875955231,NA,20,cpi
Cooper,range,B,XGB,pass2,Solar_daily,0.9857901390080472,NA,20,cpi
Cooper,range,B,XGB,pass2,Air_trange,0.35257145303785403,NA,20,cpi
Cooper,range,B,XGB,pass2,ppt,0.33742453989247256,NA,20,cpi
Cooper,range,B,XGB,pass2,Air_tmin_7day,0.3122861063909029,NA,20,cpi
Cooper,range,B,XGB,pass2,Air_tmean,0.27274923718999083,NA,20,cpi
Crater,max,A,GLS,gls,WL_min_7day,0.8278754987916477,NA,20,cpi
Crater,max,A,GLS,gls,Air_tmean_3day,0.14830600286196916,NA,20,cpi
Crater,max,A,GLS,gls,Water_area_m2_3d,0.07043226057411478,NA,20,cpi
Crater,max,A,GLS,gls,ppt_7day,0.013960903786682799,NA,20,cpi
Crater,max,A,GLS,gls,Air_trange,0.006733451808015767,NA,20,cpi
Crater,max,A,GLS,gls,GWL_range,-0.005383574300320992,NA,20,cpi
