Site,Metric,Set,Model,source,Variable,Importance,Stderr,nsim,type
Butte,range,B,RFR,pass2,Air_tmin_7day,0.13314101025096964,0.01012478853351654,20,cpi
Butte,range,B,RFR,pass2,ppt,0.10288075477614785,0.01200102155039153,20,cpi
Butte,range,B,XGB,orig,Solar_daily,0.9874854222587868,0.0364531262394494,20,cpi
Butte,range,B,XGB,orig,Air_tmin_7day,0.21640762877668296,0.01356999914415347,20,cpi
Butte,range,B,XGB,orig,Air_trange,0.1531356266903514,0.01312795658170404,20,cpi
Butte,range,B,XGB,orig,ppt,0.09562556801564533,0.00824618824665609,20,cpi
Cooper,max,A,GLS,gls,Solar_daily,0.35347697123000543,0.06458490287544749,20,cpi
Cooper,max,A,GLS,gls,Air_tmin_3day,0.09938821131399544,0.01949500372747476,20,cpi
Cooper,max,A,GLS,gls,ppt_7day,0.01723592411480767,0.01151044715562641,20,cpi
Cooper,max,A,GLS,gls,Air_trange,-8.497715910512627e-4,8.038456143441941e-4,20,cpi
Cooper,max,A,RFR,pass2,Solar_daily,1.0831627825993309,0.04918969760646068,20,cpi
Cooper,max,A,RFR,pass2,Air_tmin_3day,0.6425999049587404,0.03974996787830331,20,cpi
Cooper,max,A,RFR,pass2,Air_trange,0.28000185196253113,0.0191508767361974,20,cpi
Cooper,max,A,RFR,pass2,ppt_7day,0.26355401306335313,0.02184434090277609,20,cpi
Cooper,max,A,XGB,orig,Solar_daily,1.0451975243516491,0.06360255559117114,20,cpi
Cooper,max,A,XGB,orig,Air_tmin_3day,0.5591726745562612,0.04011696935204314,20,cpi
Cooper,max,A,XGB,orig,Air_trange,0.26262820926129665,0.01379876914332684,20,cpi
Cooper,max,A,XGB,orig,ppt_7day,0.24086375378141245,0.02177585308272362,20,cpi
Cooper,max,B,GLS,gls,Solar_daily,0.3718607378674227,0.0589339015776717,20,cpi
Cooper,max,B,GLS,gls,Air_tmin_3day,0.08606643174652584,0.01843248224473144,20,cpi
Cooper,max,B,GLS,gls,ppt_7day,0.01931186972265186,0.01167270493527065,20,cpi
Cooper,max,B,GLS,gls,Air_trange,-7.46582136827878e-4,7.691013530562055e-4,20,cpi
Cooper,max,B,RFR,pass2,Solar_daily,1.079718938439937,0.05093178041660819,20,cpi
Cooper,max,B,RFR,pass2,Air_tmin_3day,0.6491107278936563,0.03450405635411317,20,cpi
Cooper,max,B,RFR,pass2,Air_trange,0.28639886925737357,0.02182015437730499,20,cpi
Cooper,max,B,RFR,pass2,ppt_7day,0.2602752341463549,0.01429498456675587,20,cpi
Cooper,max,B,XGB,orig,Solar_daily,1.0425338432919942,0.05487165755975336,20,cpi
Cooper,max,B,XGB,orig,Air_tmin_3day,0.5609561410764935,0.03664657567999613,20,cpi
Cooper,max,B,XGB,orig,Air_trange,0.24786076738371887,0.02571373683460666,20,cpi
Cooper,max,B,XGB,orig,ppt_7day,0.2386537770088652,0.02548852615304256,20,cpi
